sql_prompt,sql
many virtual tour conducted usa q1 2022,SELECT COUNT(*) FROM virtual_tours WHERE country = 'USA' AND tour_date BETWEEN '2022-01-01' AND '2022-03-31';
total number vulnerability average severity score organization ordered highest average severity score last 90 day,"SELECT organization, COUNT(vulnerability_id) as total_vulnerabilities, AVG(severity_score) as avg_severity_score FROM vulnerabilities WHERE vulnerability_date >= DATEADD(day, -90, GETDATE()) GROUP BY organization ORDER BY avg_severity_score DESC;"
many nonprofit organization environment sector annual revenue le 250000,SELECT COUNT(*) FROM organizations WHERE sector = 'environment' AND annual_revenue < 250000.00;
total number sustainable tourism initiative africa,SELECT COUNT(*) FROM tourism_initiatives WHERE region = 'Africa' AND sustainability_level = 'Sustainable';
maximum duration space mission led space rider inc,SELECT MAX(space_missions.duration) FROM space_missions JOIN mission_contractors ON space_missions.mission_name = mission_contractors.mission_name WHERE mission_contractors.contractor = 'Space Riders Inc.';
total duration security incident related unpatched system last month,"SELECT SUM(duration) as total_duration FROM incident_duration WHERE incident_type = 'unpatched systems' AND incident_time >= DATE_SUB(CURRENT_TIMESTAMP, INTERVAL 1 MONTH);"
many employee trained diversity inclusion department,"SELECT Department, COUNT(*) as Num_Trained_Employees FROM Employees WHERE Training = 'Diversity and Inclusion' GROUP BY Department;"
percentage virtual tour 3d vr capability,SELECT (COUNT(*) * 100.0 / (SELECT COUNT(*) FROM virtual_tours)) AS percentage FROM virtual_tours WHERE has_3D_VR = true;
find destination sustainabletourism table co2 emission higher average,SELECT Destination FROM Sustainable_Tourism WHERE CO2_Emissions > (SELECT AVG(CO2_Emissions) FROM Sustainable_Tourism);
total number match played rugbymatches table match home team 10 point,SELECT COUNT(*) FROM RugbyMatches WHERE HomeScore > AwayScore + 10;
many sustainable hotel japan many award total,"SELECT COUNT(DISTINCT hotels.id), SUM(hotel_awards.count) FROM hotels JOIN (SELECT hotel_id, COUNT(*) AS count FROM hotel_awards GROUP BY hotel_id) AS hotel_awards ON hotels.id = hotel_awards.hotel_id WHERE hotels.country = 'Japan' AND hotels.sustainable = TRUE;"
list policy name corresponding policy owner policy reviewed past 6 month based policyreview table,"SELECT policy_name, policy_owner FROM PolicyReview WHERE last_reviewed < DATEADD(month, -6, GETDATE());"
many user account created asiapacific region last month,"SELECT COUNT(*) FROM user_accounts WHERE region = 'Asia-Pacific' AND account_created >= DATE_SUB(NOW(), INTERVAL 1 MONTH);"
average revenue per sustainable tour australia,SELECT AVG(revenue) FROM australia_sustainable_tours WHERE type = 'Sustainable';
find number marine protected area pacific ocean average depth greater 1000 meter,SELECT COUNT(*) FROM pacific_marine_protected_areas WHERE region = 'Pacific' AND avg_depth > 1000;
many hotel virtual tour viewed france ordered popular,"SELECT hv.country, hi.hotel_name, hv.views FROM hotel_virtual_tours hv JOIN hotel_info hi ON hv.hotel_id = hi.hotel_id WHERE country = 'France' ORDER BY views DESC;"
many virtual tour engaged last month hotel france,"SELECT COUNT(*) FROM virtual_tours WHERE hotel_id IN (SELECT hotel_id FROM hotels WHERE country = 'France') AND date >= DATEADD(month, -1, GETDATE());"
identify number virtual tour engaged hotel asia region,SELECT COUNT(*) FROM virtualtours WHERE hotel_id IN (SELECT id FROM hotels WHERE region = 'Asia');
many female farmer farmer table,SELECT COUNT(*) FROM farmers WHERE gender = 'Female';
many community development initiative completed india uttar pradesh state ngo 2017,SELECT COUNT(*) FROM community_development WHERE state = 'Uttar Pradesh' AND organization_type = 'NGO' AND EXTRACT(YEAR FROM completion_date) = 2017
total cost community development initiative rural area kenya 2019,SELECT SUM(project_cost) FROM community_development WHERE location = 'Rural' AND completion_year = 2019;
total budget spacecraft manufactured aerospace inc,SELECT SUM(budget) FROM Spacecraft WHERE manufacturer = 'AeroSpace Inc.';
maximum claim amount policyholder state new york,SELECT MAX(claims.amount) FROM claims JOIN policyholders ON claims.policyholder_id = policyholders.id WHERE policyholders.state = 'NY';
many community development initiative completed region lombardy 2015 2017,SELECT COUNT(*) FROM community_development WHERE region = 'Lombardy' AND start_date <= '2017-12-31' AND end_date >= '2015-01-01' AND initiative_type = 'Community Center';
local economic impact sustainable tourism rome,SELECT economic_impact FROM local_impact WHERE city = 'Rome';
percentage uninsured individual florida,SELECT (SUM(NOT insured) * 100.0 / COUNT(*)) FROM health_insurance WHERE state = 'Florida';
average age female patient diagnosed tuberculosis grouped ethnicity california 2020,"SELECT AVG(age) as avg_age, ethnicity FROM patients WHERE diagnosis = 'Tuberculosis' AND gender = 'Female' AND state = 'California' AND YEAR(date) = 2020 GROUP BY ethnicity;"
local economic impact tourism barcelona per quarter,"SELECT quarter, SUM(impact) FROM local_economy WHERE city = 'Barcelona' GROUP BY quarter;"
identify policyholder one claim california,SELECT policyholder_id FROM claims WHERE state = 'CA' GROUP BY policyholder_id HAVING COUNT(*) > 1;
many high severity vulnerability detected finance department last quarter,"SELECT COUNT(*) FROM vulnerabilities WHERE department = 'Finance' AND severity = 'high' AND date >= DATEADD(quarter, -1, GETDATE());"
total funding received university south america ethical ai research,"SELECT SUM(Funding) FROM Ethical_AI_Funding WHERE University IN (SELECT University FROM Ethical_AI_Funding WHERE Country IN ('Argentina', 'Brazil', 'Colombia') GROUP BY University HAVING COUNT(*) >= 2);"
count number employee identify female hr schema,SELECT COUNT(*) FROM hr.employees WHERE gender = 'Female';
total amount donated social service category,SELECT SUM(Amount) FROM Donations WHERE Category = 'Social Services';
total amount donated country specific project q1 2022,"SELECT country, SUM(amount) AS total_donated FROM donations WHERE project_id = 1 AND QUARTER(donation_date) = 1 AND YEAR(donation_date) = 2022 GROUP BY country;"
many aircraft accident canada 2015 2020,SELECT SUM(incidents) FROM accidents WHERE country = 'Canada' AND year BETWEEN 2015 AND 2020;
total number user accessibility device australia new zealand,"SELECT country, SUM(users) as total_users FROM assistive_tech WHERE country IN ('Australia', 'New Zealand') GROUP BY country;"
average rating ecofriendly hotel germany austria,"SELECT AVG(rating) FROM eco_hotels WHERE country IN ('Germany', 'Austria');"
top 5 common vulnerability threatintel database,"SELECT vulnerability, frequency FROM (SELECT vulnerability, frequency, ROW_NUMBER() OVER (ORDER BY frequency DESC) AS rank FROM ThreatIntel) AS ranked_vulnerabilities WHERE rank <= 5;"
name virtual tour paris rating 45,SELECT name FROM tours WHERE city = 'Paris' AND rating > 4.5;
average distance traveled healthcare access indigenous community canada,SELECT AVG(distance) FROM healthcare_access WHERE community = 'Indigenous';
find top 3 state highest number covid19 case,"SELECT state, cases, RANK() OVER (ORDER BY cases DESC) as rank FROM covid_data WHERE rank <= 3;"
list number ota booking made hotel city category,"SELECT hotels.name, SUM(otas.bookings) FROM otas INNER JOIN hotels ON otas.hotel_id = hotels.hotel_id WHERE hotels.category = 'City' GROUP BY hotels.name;"
identify department employee,SELECT D.Department FROM Departments D LEFT JOIN Employees E ON D.Department = E.Department WHERE E.EmployeeID IS NULL;
system vulnerability table cvecount le 5,SELECT system_name FROM vulnerabilities WHERE cve_count < 5;
many security incident reported healthcare industry last quarter,"SELECT COUNT(*) FROM security_incidents WHERE industry = 'healthcare' AND date >= ADD_MONTHS(TRUNC(SYSDATE, 'Q'), -3) AND date < TRUNC(SYSDATE, 'Q');"
scored point celtic 20202021 season,"SELECT player_name, MAX(points_scored) FROM players WHERE team_name = 'Celtics' AND season_start_year = 2020 AND season_end_year = 2021 GROUP BY player_name;"
many local vendor participated sustainable tourism conference sydney,SELECT COUNT(*) FROM vendors WHERE conference = 'Sydney Sustainable Tourism Conference';
find total number spacecraft manufactured company 2015 2017,SELECT SUM(quantity) FROM Spacecraft_Manufacturing WHERE year BETWEEN 2015 AND 2017;
engagement rate virtual tour japan last month,"SELECT (SUM(unique_views) / SUM(total_views)) * 100 AS engagement_rate FROM virtual_tours WHERE country = 'Japan' AND date >= DATE_SUB(CURDATE(), INTERVAL 1 MONTH);"
average number injury airbus aircraft accident since 2010,SELECT AVG(num_injuries) FROM accidents WHERE aircraft_model LIKE 'Airbus%' AND accident_year >= 2010;
virtual tourism revenue rome 2022,SELECT revenue FROM virtual_tourism_italy WHERE location = 'Rome' AND year = 2022;
average claim amount policy type excluding policy type fewer 3 policy united kingdom,"SELECT Policy.PolicyType, AVG(Claims.ClaimAmount) AS AvgClaimAmount FROM Policy INNER JOIN Claims ON Policy.PolicyID = Claims.PolicyID WHERE Policy.Country = 'UK' GROUP BY Policy.PolicyType HAVING COUNT(DISTINCT Policy.PolicyID) >= 3;"
many ecofriendly tour total,SELECT COUNT(*) FROM tours WHERE eco_friendly = TRUE;
policy cancellation rate policyholder mexico calculated percentage policyholder cancelled policy within first month,SELECT COUNT(*) * 100.0 / SUM(CASE WHEN FirstMonth THEN 1 ELSE 0 END) AS PolicyCancellationRate FROM Policyholders WHERE Country = 'Mexico';
total investment community development initiative nigeria south africa,"SELECT SUM(investment) FROM investments WHERE country IN ('Nigeria', 'South Africa');"
list aircraft model 150 order descending order,SELECT model FROM Aircraft WHERE orders > 150 ORDER BY orders DESC;
local economic impact virtual tour asia q3 2022,"SELECT SUM(local_impact) FROM virtual_tours WHERE country IN ('China', 'Japan', 'South Korea') AND quarter = 'Q3';"
list policy number claim amount policyholder living california filed claim,"SELECT Policies.PolicyNumber, NULL AS ClaimAmount FROM Policies LEFT JOIN Claims ON Policies.PolicyholderID = Claims.PolicyholderID WHERE Policies.PolicyState = 'California' AND Claims.PolicyholderID IS NULL;"
region highest total donation amount q2 2021,"SELECT region_id, SUM(amount) as total_donations FROM donations WHERE donation_date BETWEEN '2021-04-01' AND '2021-06-30' GROUP BY region_id ORDER BY total_donations DESC;"
list marine conservation project mediterranean sea budget,"SELECT project_name, budget FROM conservation_projects WHERE ocean = 'Mediterranean Sea';"
total area square kilometer marine protected area deeper 3000 meter,SELECT SUM(area) FROM marine_protected_areas WHERE depth > 3000;
calculate number unresolved security incident department company last 6 month partitioned department status,"SELECT department, incident_status, COUNT(incident_id) as unresolved_incidents FROM incidents WHERE incident_date >= DATEADD(month, -6, GETDATE()) GROUP BY department, incident_status;"
many marine protected area south atlantic ocean,SELECT COUNT(DISTINCT name) FROM marine_protected_areas_sa WHERE region = 'South Atlantic';
average rating hotel urban area 3 virtual tour engagement,"SELECT hotel_location, AVG(user_rating) FROM hotel_reviews WHERE virtual_tour_engagements > 3 GROUP BY hotel_location HAVING COUNT(*) > 1;"
mission director overseen mission total cost greater 200000,SELECT DISTINCT mission_director FROM missions WHERE total_cost > 200000.00;
many pollution control initiative present north pacific ocean,SELECT COUNT(*) FROM pollution_control WHERE ocean = 'North Pacific';
average salary developer ethical ai team,SELECT AVG(salary) FROM employees WHERE team = 'Ethical AI' AND position = 'Developer';
list top 2 visited museum france italy ordered visitor count,"SELECT name, visitors FROM museums WHERE country IN ('Italy', 'France') ORDER BY visitors DESC LIMIT 2;"
total number security incident unpatched system category last month,"SELECT SUM(incident_count) FROM incident_counts WHERE category = 'Unpatched Systems' AND incident_date >= DATEADD(month, -1, GETDATE());"
total number security incident country last year ordered highest lowest,"SELECT country, COUNT(incident_id) as total_incidents FROM security_incidents WHERE incident_date >= DATEADD(year, -1, CURRENT_DATE) GROUP BY country ORDER BY total_incidents DESC;"
tennis player grand slam title,"SELECT name, grand_slams FROM players WHERE sport = 'Tennis' ORDER BY grand_slams DESC;"
average economic diversification investment middle east 2019 2021,SELECT AVG(amount) FROM eco_diversification WHERE location = 'Middle East' AND year BETWEEN 2019 AND 2021;
minimum rating hotel europe,SELECT MIN(rating) FROM hotels WHERE country = 'Europe';
many security incident reported healthcare sector 2021,SELECT incidents FROM healthcare_sector WHERE year = 2021;
many vulnerability found technology sector,SELECT COUNT(*) FROM vulnerabilities WHERE sector = 'technology';
total number vulnerability discovered 2021,SELECT COUNT(*) FROM schema1.vulnerabilities WHERE date_discovered < '2021-01-01';
many rural infrastructure project completed 2019,SELECT COUNT(*) FROM rural_infrastructure WHERE year = 2019 AND status = 'Completed';
find total number research paper published dr johnson astrophysics,SELECT COUNT(*) FROM ResearchPapers WHERE Author = 'Dr. Johnson' AND ResearchArea = 'astrophysics';
top 3 common type security incident reported finance department last quarter,"SELECT incident, COUNT(*) as incident_count FROM incident_types WHERE department = 'Finance' AND timestamp >= DATEADD(quarter, -1, CURRENT_TIMESTAMP) GROUP BY incident ORDER BY incident_count DESC LIMIT 3;"
total number visitor ecofriendly hotel berlin,SELECT SUM(visitors) FROM hotels WHERE city = 'Berlin' AND is_eco_friendly = TRUE;
percentage population obese age group united state,"SELECT age_group, obesity_rate FROM obesity_rates WHERE country = 'United States';"
calculate total number tour guide conducted cultural heritage tour 2023 find guide tour,"SELECT guide_id, SUM(tours_per_guide) FROM (SELECT guide_id, COUNT(*) AS tours_per_guide FROM Tours WHERE YEAR(date) = 2023 AND cultural_heritage = TRUE GROUP BY guide_id) AS Subquery GROUP BY guide_id ORDER BY SUM(tours_per_guide) DESC LIMIT 1;"
total number high severity vulnerability seen since january 2022,"SELECT severity, COUNT(*) as total FROM vulnerabilities WHERE last_seen > '2022-01-01' AND severity = 'High' GROUP BY severity HAVING total > 1;"
whats average funding community development initiative middle east,SELECT AVG(funding) FROM CommunityDevelopment WHERE region = 'Middle East';
maximum maritime law penalty caribbean usd,SELECT MAX(penalty_amount) FROM maritime_laws WHERE region = 'Caribbean';
total claim amount policy type policy claim amount greater 1500,"SELECT PolicyType, SUM(ClaimAmount) as TotalClaimAmount FROM Claims WHERE ClaimAmount > 1500 GROUP BY PolicyType;"
top 5 common vulnerability healthcare sector q4 2021,"SELECT vulnerability_type, occurrence_count FROM vulnerabilities WHERE sector = 'Healthcare' AND occurrence_date >= '2021-10-01' AND occurrence_date < '2022-01-01' GROUP BY vulnerability_type ORDER BY occurrence_count DESC LIMIT 5;"
minimum duration space mission led astronaut india,SELECT MIN(duration) FROM SpaceMissions INNER JOIN Astronauts ON SpaceMissions.leader_id = Astronauts.id WHERE Astronauts.nationality = 'India';
average age policyholder car insurance policy west region,SELECT AVG(age) FROM policyholders JOIN regions ON policyholders.id = regions.id WHERE policy_type = 'car insurance' AND region = 'west';
list community development initiative ruraldevelopment database region population density greater 500 people per square kilometer,SELECT community_development.initiative_name FROM community_development WHERE community_development.population_density > 500;
maximum depth recorded indonesian organization indian ocean past 3 year,"SELECT MAX(depth) FROM indian_ocean_mapping WHERE country = 'Indonesia' AND date >= DATE_SUB(CURRENT_DATE, INTERVAL 3 YEAR);"
list organization received donation donor located california received donation donor located new york,SELECT organizations.name FROM organizations WHERE organizations.id IN (SELECT donations.org_id FROM donations JOIN donors ON donations.donor_id = donors.id WHERE donors.state = 'California') AND organizations.id NOT IN (SELECT donations.org_id FROM donations JOIN donors ON donations.donor_id = donors.id WHERE donors.state = 'New York');
retrieve number policy claim processed month past year,"SELECT DATE_FORMAT(policies.policy_date, '%Y-%m') AS month, COUNT(policies.policy_id) AS policies_processed, COUNT(claims.claim_id) AS claims_processed FROM policies LEFT JOIN claims ON policies.policy_date = claims.claim_date WHERE policies.policy_date >= DATE_SUB(NOW(), INTERVAL 1 YEAR) GROUP BY month ORDER BY month;"
average number ai chatbots adopted hotel europe,SELECT AVG(ai_chatbot) FROM hotel_tech WHERE region = 'Europe';
determine total funding deepsea expedition arctic region,SELECT SUM(funding) FROM deep_sea_expeditions WHERE region = 'Arctic';
total diversity inclusion training completion rate employee hired emea region 2022,SELECT COUNT(DISTINCT e.id) * 100.0 / (SELECT COUNT(DISTINCT employee_id) FROM diversity_training WHERE employee_id IN (SELECT id FROM employees WHERE hire_date >= '2022-01-01' AND hire_date < '2023-01-01' AND country IN (SELECT region FROM regions WHERE region_name = 'EMEA'))) as completion_rate FROM diversity_training WHERE employee_id IN (SELECT id FROM employees WHERE hire_date >= '2022-01-01' AND hire_date < '2023-01-01' AND country IN (SELECT region FROM regions WHERE region_name = 'EMEA'));
average annual income urban area grouped region,"SELECT Region, AVG(Income) as AvgAnnualIncome FROM UrbanAreas WHERE City LIKE '%urban%' GROUP BY Region;"
average flight altitude boeing 747 aircraft,SELECT AVG(flight_altitude) AS avg_flight_altitude FROM Flight_Data WHERE aircraft_model = 'Boeing 747';
minimum age patient tested positive gonorrhea canada,SELECT MIN(age) FROM patients WHERE state = 'Canada' AND disease = 'Gonorrhea';
agricultural innovation metric implemented plateau central region respective metric value,"SELECT m.metric_name, m.metric_value FROM regions r JOIN metrics m ON r.region_id = m.region_id WHERE r.region_name = 'Plateau Central';"
total revenue generated sustainable tourism kenya,SELECT SUM(revenue_amount) FROM tourism_revenue WHERE revenue_source = 'Sustainable Tourism' AND country = 'Kenya';
average number virtual tour city europe,"SELECT c.name, AVG(COUNT(vt.tour_id)) as avg_tours FROM cities c LEFT JOIN virtual_tours vt ON c.city_id = vt.city_id WHERE c.country LIKE 'Europe%' GROUP BY c.name;"
average rating ecofriendly hotel rome,SELECT AVG(rating) FROM eco_hotels_italy WHERE city = 'Rome';
total number marine specie discovered indian ocean,SELECT COUNT(DISTINCT species_name) FROM Species WHERE ocean_name = 'Indian Ocean';
identify number unesco world heritage site japan focus virtual tourism,SELECT COUNT(*) FROM world_heritage_sites whs WHERE whs.country = 'Japan' AND whs.unesco_site = true AND whs.virtual_tour = true;
many patient south africa diagnosed hepatitis b 2019,SELECT COUNT(*) FROM Patients WHERE Disease = 'Hepatitis B' AND Country = 'South Africa' AND YEAR(Diagnosis_Date) = 2019;
name vulnerability highest severity vulnerability table,SELECT name FROM vulnerabilities WHERE severity = (SELECT MAX(severity) FROM vulnerabilities);
average budget allocated accessible technology initiative organization healthcare sector,SELECT AVG(budget_accessible_tech) FROM org_accessibility_budget WHERE sector = 'healthcare';
total number cultural heritage site american region,SELECT COUNT(*) FROM sites_america WHERE region = 'America';
total revenue budget hotel asia 2022,SELECT SUM(revenue) FROM hotels WHERE hotel_type = 'Budget' AND region = 'Asia' AND EXTRACT(YEAR FROM timestamp) = 2022;
player scored point single nba game 20202021 season,"SELECT player_name, points FROM nba_scores WHERE points = (SELECT MAX(points) FROM nba_scores WHERE season_year = 2021) AND season_year = 2021;"
many spacecraft built spacetech incorporated,SELECT COUNT(*) FROM spacecraft WHERE manufacturer = 'SpaceTech Incorporated';
identify maritime law governing indian pacific ocean penalty exceeding 100000,"SELECT law FROM maritime_laws WHERE ocean IN ('Indian Ocean', 'Pacific Ocean') AND penalty > 100000;"
identify number marine life research project respective budget last 1 year,"SELECT COUNT(*), SUM(budget) FROM Research.Projects WHERE start_date >= DATE_SUB(CURRENT_DATE, INTERVAL 1 YEAR);"
maximum depth station owned marinelife research institute,SELECT MAX(depth) FROM OceanicStations WHERE owner = 'MarineLife Research Institute';
calculate percentage successful security incident total number incident month current year,"SELECT EXTRACT(MONTH FROM incident_date) as month, COUNT(*) FILTER (WHERE success) * 100.0 / COUNT(*) as success_percentage FROM security_incidents WHERE incident_date >= DATE(NOW()) - INTERVAL '1 year' GROUP BY EXTRACT(MONTH FROM incident_date);"
aircraft highest flight hour bluesky airline,"SELECT model, MAX(flight_hours) FROM Aircraft WHERE airline = 'BlueSky';"
average sustainability rating attraction north america,SELECT AVG(SustainabilityRating) FROM Attractions WHERE Location = 'North America';
total funding raised organization working ethical ai initiative since 2018,SELECT SUM(amount) FROM funding INNER JOIN organizations ON funding.org_id = organizations.org_id WHERE funding_year >= 2018 AND industry = 'ethical AI';
total number hospital bed hospital new delhi,SELECT SUM(TotalBeds) FROM Hospitals WHERE City = 'New Delhi';
many user booked virtual city tour,SELECT COUNT(*) FROM bookings INNER JOIN virtual_tours ON bookings.tour_id = virtual_tours.id WHERE virtual_tours.name LIKE '%Virtual City%';
average budget ethical ai initiative north america,SELECT AVG(budget) FROM ethical_ai_initiatives WHERE region = 'North America';
percentage uninsured individual county california,"SELECT county, (SUM(CASE WHEN insured = false THEN population ELSE 0 END) / SUM(population)) * 100 as uninsured_percentage FROM healthcare_access WHERE state = 'CA' GROUP BY county;"
total cost agricultural innovation project innovation table grouped type started 2014,"SELECT SUBSTRING(project, 1, INSTR(project, ' ')-1) as project_type, SUM(cost) as total_cost FROM Innovation WHERE year > 2014 GROUP BY project_type;"
identify number digital divide initiative latin america caribbean organized year since 2015,"SELECT Year, COUNT(*) FROM DigitalDivide WHERE Country IN ('Latin America', 'Caribbean') AND Year >= 2015 GROUP BY Year;"
list cybersecurity policy last updated 2019,"SELECT policy_name, last_updated FROM policies WHERE last_updated LIKE '2019-%';"
average virtual tour engagement duration mexico city mexico,SELECT AVG(duration) FROM virtual_tours WHERE city = 'Mexico City' AND country = 'Mexico';
total number volunteer urban area volunteered last 6 month,"SELECT COUNT(*) FROM volunteers WHERE location = 'urban' AND reg_date >= DATEADD(month, -6, GETDATE());"
percentage population australia access clean water,SELECT PercentCleanWater FROM Countries WHERE CountryName = 'Australia';
identify user underrepresented community 5 transaction q3 2019 rank transaction value,"SELECT user_id, RANK() OVER (ORDER BY SUM(transaction_value) DESC) as rank FROM transactions INNER JOIN users ON transactions.user_id = users.user_id WHERE EXTRACT(MONTH FROM transaction_date) BETWEEN 9 AND 11 HAVING COUNT(*) > 5 GROUP BY user_id;"
average income household child japan,SELECT AVG(income) FROM household_data WHERE country = 'Japan' AND children = true;
combined salary employee working boeing airbus spacex grouped job title,"SELECT job_title, SUM(salary) FROM Employee_Salaries WHERE company IN ('Boeing', 'Airbus', 'SpaceX') GROUP BY job_title;"
farmer received training conservation agriculture nile delta region 2021,SELECT name FROM farmers WHERE region = 'Nile Delta' AND training_topic = 'Conservation Agriculture' AND training_year = 2021;
average severity score vulnerability technology sector,SELECT AVG(severity) FROM vulnerabilities WHERE sector = 'Technology';
identify number sustainable tourism initiative implemented america region year,"SELECT implementation_year, COUNT(*) as num_initiatives FROM sustainable_tourism WHERE region = 'Americas' GROUP BY implementation_year;"
list unique specie marine life observed arctic ocean corresponding count last 3 year,"SELECT species, count(*) as total_count FROM arctic_marine_life WHERE date >= DATE_SUB(CURRENT_DATE, INTERVAL 3 YEAR) AND region = 'Arctic Ocean' GROUP BY species;"
many marine research project conducted pacific,"SELECT location, COUNT(*) FROM Research WHERE location = 'Pacific' GROUP BY location;"
many female employee hired department since 2018,"SELECT Department, COUNT(*) as Num_Female_Employees FROM Employees WHERE Gender = 'Female' AND YEAR(HireDate) >= 2018 GROUP BY Department;"
list mission astronaut usa china,"SELECT Missions.Mission_ID FROM Astronauts INNER JOIN Missions ON Astronauts.Astronaut_ID = Missions.Astronaut_ID WHERE Astronauts.Country IN ('USA', 'China') GROUP BY Missions.Mission_ID HAVING COUNT(DISTINCT Astronauts.Country) = 2;"
calculate average biomass marine life research project atlantic ocean,SELECT AVG(biomass) FROM marine_life_research WHERE ocean = 'Atlantic';
total cost economic diversification effort mexico 2017 2018 combined,SELECT SUM(cost) FROM economic_diversification_efforts WHERE country = 'Mexico' AND (year = 2017 OR year = 2018);
marine specie found south pacific region 2020,SELECT name FROM Species WHERE region = 'South Pacific' AND year = 2020;
total number diversity inclusion training session conducted department year 2021,"SELECT department, training_type, COUNT(*) as total_sessions FROM training_sessions WHERE YEAR(session_date) = 2021 AND training_type = 'Diversity and Inclusion' GROUP BY department, training_type;"
find average number hospital bed per state california texas,"SELECT state, AVG(hospital_beds) AS avg_hospital_beds FROM state_hospitals WHERE state IN ('California', 'Texas') GROUP BY state;"
life expectancy india 2020,SELECT expectancy FROM life_expectancy WHERE country = 'India' AND year = 2020;
average budget allocated accessible technology initiative african country,SELECT AVG(AccessibleTechBudget.Budget) AS AvgBudget FROM AccessibleTechBudget INNER JOIN Countries ON AccessibleTechBudget.Country = Countries.Country WHERE Countries.Continent = 'Africa';
many spacecraft manufactured astrocorp 2017,SELECT COUNT(*) FROM spacecrafts WHERE manufacturer = 'AstroCorp' AND manufacture_date LIKE '2017%';
maximum salary sale department,SELECT MAX(Salary) FROM Employees WHERE Department = 'Sales';
satellite launched 2010,SELECT * FROM satellites WHERE launch_year < 2010;
percentage patient diagnosed cancer age 65,SELECT (COUNT(*) FILTER (WHERE Age > 65)) * 100.0 / COUNT(*) FROM Patients WHERE Diagnosis = 'Cancer';
average manufacturing cost aircraft produced asia,"SELECT AVG(cost) FROM AircraftManufacturing WHERE country IN ('China', 'Japan');"
total cost rural infrastructure project related agriculture south america,SELECT SUM(cost) as total_cost FROM Rural_Infrastructure WHERE country = 'South America' AND sector = 'Agriculture';
total number policy issued per agent western region,"SELECT Agents.AgentRegion, COUNT(Policies.PolicyID) AS TotalPolicies FROM Agents INNER JOIN Policies ON Agents.AgentID = Policies.AgentID WHERE Agents.AgentRegion = 'Western' GROUP BY Agents.AgentID;"
average diversity inclusion training score gender hr department,"SELECT Department, Gender, AVG(CASE WHEN TrainingType = 'Diversity and Inclusion' THEN Score END) AS AverageScore FROM GenderScores WHERE Department = 'HR' GROUP BY Department, Gender;"
percentage smoker europe country,"SELECT Country, Percentage_Smokers FROM Smokers WHERE Continent = 'Europe';"
many marine life research data entry specie population le equal 300,SELECT COUNT(*) FROM marine_life_research WHERE population <= 300;
minimum price ethical ai solution developed company asia,SELECT MIN(price) FROM AI WHERE region = 'Asia' AND solution LIKE '%ethical%';
many accessible technology project launched year asia,"SELECT YEAR(launch_date) AS year, COUNT(*) AS project_count FROM AccessibleTech WHERE location = 'Asia' GROUP BY year ORDER BY year;"
top 2 external threat actor number successful attack last 6 month,"SELECT actor_id, COUNT(*) as successful_attacks FROM attack_results WHERE success = true AND timestamp >= DATE_SUB(NOW(), INTERVAL 6 MONTH) GROUP BY actor_id ORDER BY successful_attacks DESC LIMIT 2;"
average number virtual tour taken per user asia,"SELECT AVG(number_of_tours) FROM (SELECT user_id, COUNT(DISTINCT virtual_tour_id) as number_of_tours FROM user_activity WHERE country = 'Asia' GROUP BY user_id) as user_tours;"
list name date weather record paris,"SELECT date, location FROM weather WHERE location = 'Paris';"
total number volunteer total hour contributed region current year,"SELECT region, SUM(total_hours) as total_hours, COUNT(*) as total_volunteers FROM volunteers WHERE YEAR(donation_date) = YEAR(GETDATE()) GROUP BY region;"
minimum age policyholder home insurance policy,SELECT MIN(age) FROM policyholders WHERE policy_type = 'home';
name runner secondbest time marathonresults table,SELECT name FROM marathon_results WHERE time_minutes = (SELECT MIN(time_minutes) FROM marathon_results WHERE name != (SELECT MIN(name) FROM marathon_results));
list policy risk assessment model score higher 800 ordered score descending order,"SELECT policies.policy_id, risk_score FROM policies INNER JOIN risk_assessment USING (policy_id) WHERE risk_score > 800 ORDER BY risk_score DESC"
average sustainability rating hotel new york,SELECT AVG(sustainability_rating) FROM hotels WHERE location = 'New York';
maximum number unsuccessful login attempt guest account past month,"SELECT user_account, MAX(TIMESTAMP_DIFF(attempt_time, LAG(attempt_time) OVER (PARTITION BY user_account ORDER BY attempt_time), MINUTE)) FROM login_attempts WHERE role = 'guest' AND attempt_time >= CURRENT_DATE - INTERVAL 30 DAY GROUP BY user_account;"
average number volunteer hour per month art culture category 2021,SELECT AVG(hours / 12) as avg_monthly_volunteer_hours FROM volunteer_hours WHERE category = 'Arts & Culture' AND YEAR(hour_date) = 2021;
maximum lifespan astronaut led space mission india,SELECT MAX(lifespan) FROM astronauts_india WHERE is_lead_astronaut = true;
calculate average budget ethical ai research per month year 2022,SELECT AVG(Budget) FROM Ethical_AI_Budget WHERE Year = 2022;
minimum salary employee identify hispanic latino,SELECT MIN(salary) as min_salary FROM employees WHERE ethnicity = 'Hispanic or Latino';
average age athlete athlete table gold medal olympics grouped nationality,"SELECT nationality, AVG(age) FROM athletes WHERE medal = 'Gold' AND event LIKE '%Olympics%' GROUP BY nationality;"
total number policy violation employee sale department,"SELECT employee_id, SUM(violation_count) as total_violations FROM policy_violations WHERE department = 'sales' GROUP BY employee_id;"
